Date,Industrial Production (Index) (% MoM),Nonfarm Payrolls (thousands) (% MoM),Real Disp. Personal Income (B$) (% MoM),Real Mfg & Trade Sales (M$) (% MoM)
28-Feb-1999,0.6063,0.3268,0.4535,1.5342
31-Mar-1999,0.2266,0.0913,0.0522,-0.1472
30-Apr-1999,0.2296,0.2811,-0.1892,-0.1667
31-May-1999,0.6303,0.1694,0.2205,1.4561
30-Jun-1999,-0.0785,0.2102,0.3616,0.1020
31-Jul-1999,0.5770,0.2615,0.2784,0.1299
31-Aug-1999,0.4007,0.1158,0.4399,0.7863
30-Sep-1999,-0.4045,0.1535,-0.0527,-0.1814
31-Oct-1999,1.2149,0.3131,0.6479,0.8748
30-Nov-1999,0.4836,0.2210,0.7916,0.5155
31-Dec-1999,0.7684,0.2427,0.8833,0.4323
31-Jan-2000,-0.1369,0.1742,0.9676,0.7931
29-Feb-2000,0.3118,0.0832,0.4549,-1.8158
31-Mar-2000,0.3549,0.3684,0.3250,1.1754
30-Apr-2000,0.5935,0.2125,0.4850,0.8276
31-May-2000,0.2704,0.1674,0.0799,-0.5321
30-Jun-2000,0.0390,-0.0318,0.4783,0.6589
31-Jul-2000,-0.1953,0.1249,0.5874,-0.6322
31-Aug-2000,-0.2727,0.0045,0.5257,0.0347
30-Sep-2000,0.4604,0.0779,0.0980,1.0731
31-Oct-2000,-0.3893,0.0113,0.2838,-0.7660
30-Nov-2000,0.0280,0.1540,0.1237,-0.7308
31-Dec-2000,-0.3268,0.1206,0.0415,0.7810
31-Jan-2001,-0.4771,-0.0098,0.4384,-0.8055
28-Feb-2001,-0.6535,0.0640,0.2046,0.4403
31-Mar-2001,-0.2052,-0.0279,0.2970,-1.2059
30-Apr-2001,-0.3596,-0.2210,-0.4045,-0.7918
31-May-2001,-0.4787,-0.0378,-0.3242,0.8608
30-Jun-2001,-0.5294,-0.0816,-0.1379,-1.3723
31-Jul-2001,-0.6425,-0.0968,-0.0154,0.3807
31-Aug-2001,-0.1148,-0.1143,-0.0724,0.8228
30-Sep-2001,-0.5078,-0.1956,-0.1314,-2.1248
31-Oct-2001,-0.2745,-0.2363,-0.5684,2.9278
30-Nov-2001,-0.6065,-0.2346,-0.0681,-0.4874
31-Dec-2001,-0.0428,-0.1228,0.0350,0.1965
31-Jan-2002,0.6633,-0.0947,0.0457,-0.0969
28-Feb-2002,0.0115,-0.0933,0.0233,0.3631
31-Mar-2002,0.7212,-0.0115,-0.0068,-0.4945
30-Apr-2002,0.4871,-0.0811,-0.0399,1.1435
31-May-2002,0.4010,0.0122,0.2710,0.2073
30-Jun-2002,0.8215,0.0321,0.3090,0.3252
31-Jul-2002,-0.0322,-0.0689,-0.3575,-0.2791
31-Aug-2002,-0.1111,-0.0023,-0.0243,0.9556
30-Sep-2002,0.0849,-0.0605,0.0165,-0.8607
31-Oct-2002,-0.2085,0.0881,0.1939,-0.4621
30-Nov-2002,0.5587,-0.0008,0.2206,1.0657
31-Dec-2002,-0.5577,-0.1157,0.1478,-0.7793
31-Jan-2003,0.8485,0.0827,-0.3471,0.5862
28-Feb-2003,0.1187,-0.1011,-0.3794,-1.1114
31-Mar-2003,-0.2632,-0.1581,0.1302,0.9075
30-Apr-2003,-0.5975,-0.0476,0.4109,-0.2899
31-May-2003,-0.0273,0.0184,0.7351,0.8732
30-Jun-2003,0.1277,-0.0084,0.3134,0.9319
31-Jul-2003,0.5125,-0.0015,0.0679,0.7573
31-Aug-2003,-0.2184,-0.0238,0.1529,-0.0411
30-Sep-2003,0.6427,0.0760,0.1736,0.4059
31-Oct-2003,0.1231,0.1435,0.5361,0.2361
30-Nov-2003,0.6683,0.0314,0.6935,0.3859
31-Dec-2003,0.0296,0.0835,-0.0876,-0.2832
31-Jan-2004,0.1521,0.1278,-0.3190,-0.4999
29-Feb-2004,0.6014,0.0497,0.0199,0.7724
31-Mar-2004,-0.4009,0.2435,0.3689,2.3207
30-Apr-2004,0.3707,0.2072,0.3384,-1.0711
